,Unnamed: 0,Text,Source,label
0,226,CONF-1D F/C/R-$585,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-1D F/C/R-$585', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 7, 'text': 'CONF-1D F/C/R-$585', 'labels': ['CONFINEMENT_DURATION']}]"
1,149,CONF-1D PROB-12M RETAIL FRAUD II,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-1D PROB-12M RETAIL FRAUD II', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 7, 'text': 'CONF-1D PROB-12M RETAIL FRAUD II', 'labels': ['CONFINEMENT_DURATION']}, {'start': 8, 'end': 12, 'text': 'CONF-1D PROB-12M RETAIL FRAUD II', 'labels': ['PROBATION']}, {'start': 13, 'end': 16, 'text': 'CONF-1D PROB-12M RETAIL FRAUD II', 'labels': ['PROBATION_DURATION']}]"
2,165,F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV,MI,"[{'start': 11, 'end': 15, 'text': 'F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV', 'labels': ['PROBATION']}, {'start': 16, 'end': 18, 'text': 'F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV', 'labels': ['PROBATION_DURATION']}, {'start': 19, 'end': 23, 'text': 'F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV', 'labels': ['CONFINEMENT']}, {'start': 24, 'end': 27, 'text': 'F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV', 'labels': ['CONFINEMENT_DURATION']}]"
3,135,F/C/R/ $500,MI,[]
4,234,PROSTITUTION F/C/R-$400,MI,[]
5,266,"CONF-90D, F/C/R-$1117, PROB-12M",MI,"[{'start': 0, 'end': 4, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 8, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['CONFINEMENT_DURATION']}, {'start': 23, 'end': 27, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['PROBATION']}, {'start': 28, 'end': 31, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['PROBATION_DURATION']}]"
6,253,F/C/R-$71 CONF-3D,MI,"[{'start': 10, 'end': 14, 'text': 'F/C/R-$71 CONF-3D', 'labels': ['CONFINEMENT']}, {'start': 15, 'end': 17, 'text': 'F/C/R-$71 CONF-3D', 'labels': ['CONFINEMENT_DURATION']}]"
7,207,CONF-23D F/C/R-$12M PROB-12M,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-23D F/C/R-$12M PROB-12M', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 8, 'text': 'CONF-23D F/C/R-$12M PROB-12M', 'labels': ['CONFINEMENT_DURATION']}, {'start': 20, 'end': 24, 'text': 'CONF-23D F/C/R-$12M PROB-12M', 'labels': ['PROBATION']}, {'start': 25, 'end': 28, 'text': 'CONF-23D F/C/R-$12M PROB-12M', 'labels': ['PROBATION_DURATION']}]"
8,153,CONF-4D F/C/R-$323 PROB-730D,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-4D F/C/R-$323 PROB-730D', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 7, 'text': 'CONF-4D F/C/R-$323 PROB-730D', 'labels': ['CONFINEMENT_DURATION']}, {'start': 24, 'end': 28, 'text': 'CONF-4D F/C/R-$323 PROB-730D', 'labels': ['PROBATION_DURATION']}, {'start': 19, 'end': 23, 'text': 'CONF-4D F/C/R-$323 PROB-730D', 'labels': ['PROBATION']}]"
9,138,CONF-30D F/C/R-$405 OR CONF-40D PROB-24M,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['CONFINEMENT']}, {'start': 23, 'end': 27, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 8, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['CONFINEMENT_DURATION']}, {'start': 28, 'end': 31, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['CONFINEMENT_DURATION']}, {'start': 32, 'end': 36, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['PROBATION']}, {'start': 37, 'end': 40, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['PROBATION_DURATION']}]"
10,167,F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED,MI,"[{'start': 13, 'end': 20, 'text': 'F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED', 'labels': ['CONFINEMENT']}, {'start': 21, 'end': 25, 'text': 'F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED', 'labels': ['CONFINEMENT_DURATION']}, {'start': 26, 'end': 30, 'text': 'F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED', 'labels': ['PROBATION']}, {'start': 31, 'end': 39, 'text': 'F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED', 'labels': ['PROBATION_DURATION']}]"
11,187,F/C/R-$150  - 30 DAYS REST LIC,MI,[]
12,267,F/C/R-$1400 PROB-12M CONF-180D,MI,"[{'start': 12, 'end': 16, 'text': 'F/C/R-$1400 PROB-12M CONF-180D', 'labels': ['PROBATION']}, {'start': 17, 'end': 20, 'text': 'F/C/R-$1400 PROB-12M CONF-180D', 'labels': ['PROBATION_DURATION']}, {'start': 21, 'end': 25, 'text': 'F/C/R-$1400 PROB-12M CONF-180D', 'labels': ['CONFINEMENT']}, {'start': 26, 'end': 30, 'text': 'F/C/R-$1400 PROB-12M CONF-180D', 'labels': ['CONFINEMENT_DURATION']}]"
13,208,JAIL- MN 000-000-090,MI,"[{'start': 0, 'end': 4, 'text': 'JAIL- MN 000-000-090', 'labels': ['CONFINEMENT']}, {'start': 6, 'end': 20, 'text': 'JAIL- MN 000-000-090', 'labels': ['CONFINEMENT_DURATION']}]"
14,245,F/C/R-$29 PROB-6M,MI,"[{'start': 10, 'end': 14, 'text': 'F/C/R-$29 PROB-6M', 'labels': ['PROBATION']}, {'start': 15, 'end': 17, 'text': 'F/C/R-$29 PROB-6M', 'labels': ['PROBATION_DURATION']}]"
15,144,F/C/R-$176 PROB-6M,MI,"[{'start': 11, 'end': 15, 'text': 'F/C/R-$176 PROB-6M', 'labels': ['PROBATION']}, {'start': 16, 'end': 18, 'text': 'F/C/R-$176 PROB-6M', 'labels': ['PROBATION_DURATION']}]"
16,147,CONF-1D F/C/R-$995 PROB-1Y,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-1D F/C/R-$995 PROB-1Y', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 7, 'text': 'CONF-1D F/C/R-$995 PROB-1Y', 'labels': ['CONFINEMENT_DURATION']}, {'start': 19, 'end': 23, 'text': 'CONF-1D F/C/R-$995 PROB-1Y', 'labels': ['PROBATION']}, {'start': 24, 'end': 26, 'text': 'CONF-1D F/C/R-$995 PROB-1Y', 'labels': ['PROBATION_DURATION']}]"
