"Text","Begin Offset","End Offset","Pattern","Interpretation","Duration Type Tag (Incarceration)","Duration Format Tag (Incarceration)","Context Tag","Source","SUBSTR"
"""CONFINEMENT OR FINE-18 YEARS/40,000 DOLLAR FINE""",20,27,"CONFINEMENT OR FINE*{DURATION}",null,"Fixed","Textual",null,"Unknown","18 YEARS"
"""GUILTY PLEA-17CTS/18 YRS/$5,068.87 REST""",18,23,"{DURATION}&!SUSPENDED/PROBATION/OTHER",null,"Fixed","Textual",null,"Unknown","18 YRS"
"CONFINEMENT-18 YEARS/FINE-$4000",12,19,"CONFINEMENT.{DURATION}",null,"Fixed","Textual",null,"Unknown","18 YEARS"
"8 YRS",0,4,"{DURATION}",null,"Fixed","Textual",null,"Unknown","8 YRS"
"8 YRS EA",0,4,"{DURATION}&!SUSPENDED/PROBATION/OTHER",null,"Fixed","Textual",null,"Unknown","8 YRS"
"500/CST 8 YR TDOC",8,11,"*{DURATION}.{FACILITY}",null,"Fixed","Textual",null,"Unknown","8 YR"
"CONFINEMENT OR FINE- 3 TO 5 YRS",21,30,"CONFINEMENT OR FINE*{DURATION}",null,"Range","Textual",null,"Unknown","3 TO 5 YRS"
"11 MOS 29 DAYS SENTENCE SUSPENDED ALL BUT 30 DAYS /REMAINDER PORBATION",42,48,"*SUSPENDED ALL BUT {DURATION}",null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","30 DAYS"
"SENTENCE SUSPENDED- 11/29 SUSP",null,null,null,null,"No_duration","None",null,"Tennessee Data Workbook (tn-data-coding)",null
"11/29 SUSPENDED-10 DAYS COMMUNITY SERV.-RESTITUTION-CC",null,null,null,null,"No_duration","None",null,"Tennessee Data Workbook (tn-data-coding)",null
"FINE & CC-$50 + CC-11/29 SUSP/28 DAY TREATMT PROG",null,null,null,null,"No_duration","None",null,"Tennessee Data Workbook (tn-data-coding)",null
"SENT SUSP-11/29 SUSP/SUPV PROB/RANDOM DRUG SCREEN/$250+COST",null,null,null,null,"No_duration","None",null,"Tennessee Data Workbook (tn-data-coding)",null
"SENTENCE SUSPENDED 11-29 BUT 45 DAYS/ ETHRA PROBATION/ FINE $600/ CC $226.50",29,35,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","45 DAYS"
"""11/29 SUSP TO 30DA, BAL ON PROB $250+$165 RESTIT""",14,17,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","30DA"
"SENTENCE SUSPENDED 11-29 EXCEPT 2 DAYS/PROBATION 11-28/FINE $284",32,37,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","2 DAYS"
"CONFINEMENT-SERVE 48 HOURS REST OF 11/29 SUSPENDED/PAY $50 FINE AND COURT COSTS",18,25,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","48 HOURS"
"FINE AND COURT COSTS-$50/CC",null,null,null,null,"No_duration","None",null,"Tennessee Data Workbook (tn-data-coding)",null
"SENTENCE SUSPENDED 11-29/PROBATION/FINE $250 AND COSTS",null,null,null,null,"No_duration","None",null,"Tennessee Data Workbook (tn-data-coding)",null
"CONFINE-11/29 TO SERVE 120 DAYS/FINE-$225/CC-CONCU",23,30,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","120 DAYS"
"CONFINE-6 MOS PROB/50/CC/STAY OUT OF PARKVIEW COUR",null,null,null,null,"No_duration",null,null,"Tennessee Data Workbook (tn-data-coding)",null
"CONFINE-1 YEAR/3 YRS PROBATION",8,13,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","1 YEAR"
"""CONFINEMENT OR FINE-48 HRS. 250.00$, DUI SCHOOL""",20,25,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","48 HRS"
"CONFINEMENT-4 YEARS CONCURRENT",12,18,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","4 YEARS"
"CONFINEMENT-5 MONTHS EACH COUNT",12,19,null,null,"Fixed","Textual",null,"Tennessee Data Workbook (tn-data-coding)","5 MONTHS"
"CONFINEMENT OR FINE-$50+6 MOS SUSP",null,null,null,null,"Fixed","Delimited",null,"Tennessee Data Workbook (tn-data-coding)",null
"CONFINEMENT-11/29 EACH COUNT",12,16,null,null,"Fixed","Delimited",null,"Tennessee Data Workbook (tn-data-coding)","11/29"
