,Unnamed: 0,Text,Source,label
0,205,CONF-60D F/C/R-$500 OR 90D,MI,"[{'start': 23, 'end': 26, 'text': 'CONF-60D F/C/R-$500 OR 90D', 'labels': ['INCARCERATION']}]"
1,128,6 MO PROB/CCC/F&C $1010/3 DAYS COMM SERVICE/RANDOM TESTING/VIP/,MI,[]
2,122,1 M JAIL,MI,"[{'start': 0, 'end': 3, 'text': '1 M JAIL', 'labels': ['INCARCERATION']}]"
3,192,SEN- 9/11/97 PRISON- MN 002-000-000 MX 003-000-000,MI,"[{'start': 21, 'end': 50, 'text': 'SEN- 9/11/97 PRISON- MN 002-000-000 MX 003-000-000', 'labels': ['INCARCERATION']}]"
4,160,DISO PERSON-INTOXICATED F/C/R-$390 PROB-12M,MI,[]
5,268,F/C/R-$5 CONF-10D PROB-1Y3M,MI,"[{'start': 14, 'end': 17, 'text': 'F/C/R-$5 CONF-10D PROB-1Y3M', 'labels': ['INCARCERATION']}]"
6,211,F/C/R-$214 OR 10D,MI,"[{'start': 14, 'end': 17, 'text': 'F/C/R-$214 OR 10D', 'labels': ['INCARCERATION']}]"
7,123,F/C/R-$100 CONF-3D PROB-6M,MI,"[{'start': 16, 'end': 18, 'text': 'F/C/R-$100 CONF-3D PROB-6M', 'labels': ['INCARCERATION']}]"
8,132,2Y0M0D TO 5Y0M,MI,"[{'start': 0, 'end': 14, 'text': '2Y0M0D TO 5Y0M', 'labels': ['INCARCERATION']}]"
9,172,24 MO PROB/OUTPAT/AA/VIP/F&C $1210/3 DAYS CS/,MI,[]
10,133,"5 DAYS JAIL, AND F/C $600 OR 60 DAYS JAIL",MI,"[{'start': 0, 'end': 6, 'text': '5 DAYS JAIL, AND F/C $600 OR 60 DAYS JAIL', 'labels': ['INCARCERATION']}, {'start': 29, 'end': 36, 'text': '5 DAYS JAIL, AND F/C $600 OR 60 DAYS JAIL', 'labels': ['INCARCERATION']}]"
11,176,CONF-30D F/C/R-$650,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-30D F/C/R-$650', 'labels': ['INCARCERATION']}]"
12,168,CONF-12M F/C/R-$570 PROB-24M,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-12M F/C/R-$570 PROB-24M', 'labels': ['INCARCERATION']}]"
13,226,CONF-1D F/C/R-$585,MI,"[{'start': 5, 'end': 7, 'text': 'CONF-1D F/C/R-$585', 'labels': ['INCARCERATION']}]"
14,155,CONF-15Y TO 50Y F/C/R-$30,MI,"[{'start': 5, 'end': 15, 'text': 'CONF-15Y TO 50Y F/C/R-$30', 'labels': ['INCARCERATION']}]"
15,204,CONF-50D F/C/R-$640 PROB-1Y,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-50D F/C/R-$640 PROB-1Y', 'labels': ['INCARCERATION']}]"
16,264,F/C/R-$54  - PAID,MI,[]
17,186,F/C/R-$500 CONF-24D PROB-1Y,MI,"[{'start': 16, 'end': 19, 'text': 'F/C/R-$500 CONF-24D PROB-1Y', 'labels': ['INCARCERATION']}]"
18,166,F/C/R-$55 PROB-6M  - RESTITUTION,MI,[]
19,182,PROB VIOL SEN- 5/13/97 PRISON- MN 003-000-000 MX 005-000-000 CONCURRETN F/C/R-1300,MI,"[{'start': 31, 'end': 60, 'text': 'PROB VIOL SEN- 5/13/97 PRISON- MN 003-000-000 MX 005-000-000 CONCURRETN F/C/R-1300', 'labels': ['INCARCERATION']}]"
20,221,CONF 93D F/C/R $95 PROB 3M,MI,"[{'start': 5, 'end': 8, 'text': 'CONF 93D F/C/R $95 PROB 3M', 'labels': ['INCARCERATION']}]"
21,256,CONF-1Y6M TO 7Y6M F/C/R-$30,MI,"[{'start': 5, 'end': 17, 'text': 'CONF-1Y6M TO 7Y6M F/C/R-$30', 'labels': ['INCARCERATION']}]"
22,209,PROB-VIOLATED CONF-210D PROB-REVOKED,MI,"[{'start': 19, 'end': 23, 'text': 'PROB-VIOLATED CONF-210D PROB-REVOKED', 'labels': ['INCARCERATION']}]"
23,261,SEN- 3/02/98 JAIL- MN 000-000-120 MX 000-000-120 F/C/R-500 24M PROB,MI,"[{'start': 19, 'end': 48, 'text': 'SEN- 3/02/98 JAIL- MN 000-000-120 MX 000-000-120 F/C/R-500 24M PROB', 'labels': ['INCARCERATION']}]"
24,210,F/C 240 JAIL 9 DAYS PROB 3 YRS,MI,"[{'start': 13, 'end': 19, 'text': 'F/C 240 JAIL 9 DAYS PROB 3 YRS', 'labels': ['INCARCERATION']}]"
25,260,180 DAY RULE,MI,[]
26,227,CONSUMING ALCOHOL IN A PARK F/C/R-$125 OR CONF-15D,MI,"[{'start': 47, 'end': 50, 'text': 'CONSUMING ALCOHOL IN A PARK F/C/R-$125 OR CONF-15D', 'labels': ['INCARCERATION']}]"
27,148,F/C/R-$462 PROB-3Y,MI,[]
28,146,SEN- 7/03/2003 PRISON- MN 000-018-000 MX 000-030-000 F/C/R-2479,MI,"[{'start': 23, 'end': 52, 'text': 'SEN- 7/03/2003 PRISON- MN 000-018-000 MX 000-030-000 F/C/R-2479', 'labels': ['INCARCERATION']}]"
29,222,CONF-6M  - WITH CREDIT FOR 4 DAYS,MI,"[{'start': 5, 'end': 7, 'text': 'CONF-6M  - WITH CREDIT FOR 4 DAYS', 'labels': ['INCARCERATION']}]"
30,251,6 YEARS MDOC CONSECUTIVE W/ CASE #51793,MI,"[{'start': 0, 'end': 7, 'text': '6 YEARS MDOC CONSECUTIVE W/ CASE #51793', 'labels': ['INCARCERATION']}]"
31,174,F/C/R-$1173 OR CONF-10D,MI,"[{'start': 20, 'end': 23, 'text': 'F/C/R-$1173 OR CONF-10D', 'labels': ['INCARCERATION']}]"
32,139,F/C/R-$35  - AND RESTITUTION,MI,[]
33,241,SEN- 9/24/2004 PRISON- MN 000-048-000 MX 000-120-000,MI,"[{'start': 23, 'end': 52, 'text': 'SEN- 9/24/2004 PRISON- MN 000-048-000 MX 000-120-000', 'labels': ['INCARCERATION']}]"
34,231,CONF-1D F/C/R-$1991 OR CONF-365D PROB-12M,MI,"[{'start': 5, 'end': 7, 'text': 'CONF-1D F/C/R-$1991 OR CONF-365D PROB-12M', 'labels': ['INCARCERATION']}, {'start': 28, 'end': 32, 'text': 'CONF-1D F/C/R-$1991 OR CONF-365D PROB-12M', 'labels': ['INCARCERATION']}]"
35,213,PROB-1Y  - $15 PER MON,MI,[]
36,152,CONF 150D,MI,"[{'start': 5, 'end': 9, 'text': 'CONF 150D', 'labels': ['INCARCERATION']}]"
37,266,"CONF-90D, F/C/R-$1117, PROB-12M",MI,"[{'start': 5, 'end': 8, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['INCARCERATION']}]"
38,173,CONF-8D  - FAILED TO SHOW 60DAYS 12-27-71 SUSP 12-28-71,MI,"[{'start': 5, 'end': 7, 'text': 'CONF-8D  - FAILED TO SHOW 60DAYS 12-27-71 SUSP 12-28-71', 'labels': ['INCARCERATION']}]"
39,175,CONF-93D F/C/R-$150 PROB-24M COMBINED WITH CASE 01003333,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-93D F/C/R-$150 PROB-24M COMBINED WITH CASE 01003333', 'labels': ['INCARCERATION']}]"
40,178,POS LESS 50 GR CONF01Y,MI,"[{'start': 19, 'end': 22, 'text': 'POS LESS 50 GR CONF01Y', 'labels': ['INCARCERATION']}]"
41,248,PLACED ON DIVERSION PROGRAM DISCH 033080,MI,[]
42,244,F/C/R $1500 PROB 2Y,MI,[]
43,127,CONF-30D F/C/R-$97,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-30D F/C/R-$97', 'labels': ['INCARCERATION']}]"
44,138,CONF-30D F/C/R-$405 OR CONF-40D PROB-24M,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['INCARCERATION']}, {'start': 28, 'end': 31, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['INCARCERATION']}]"
45,201,F/C/R-$110 CONF-8D,MI,"[{'start': 16, 'end': 18, 'text': 'F/C/R-$110 CONF-8D', 'labels': ['INCARCERATION']}]"
46,156,F/C/R-$898 PROB-3Y PROB VIOL CONF-1-4Y PROB REVOKED,MI,"[{'start': 34, 'end': 38, 'text': 'F/C/R-$898 PROB-3Y PROB VIOL CONF-1-4Y PROB REVOKED', 'labels': ['INCARCERATION']}]"
47,130,F/C/R-$104 CONF-60D,MI,"[{'start': 16, 'end': 19, 'text': 'F/C/R-$104 CONF-60D', 'labels': ['INCARCERATION']}]"
48,265,SEN- 2/13/2004 JAIL- MN 001-000-000 F/C/R-8260 24M PROB,MI,"[{'start': 21, 'end': 35, 'text': 'SEN- 2/13/2004 JAIL- MN 001-000-000 F/C/R-8260 24M PROB', 'labels': ['INCARCERATION']}]"
49,124,F/C/R-$109 OR 3D,MI,"[{'start': 14, 'end': 16, 'text': 'F/C/R-$109 OR 3D', 'labels': ['INCARCERATION']}]"
50,185,CONF-14MD-24M,MI,"[{'start': 5, 'end': 13, 'text': 'CONF-14MD-24M', 'labels': ['INCARCERATION']}]"
51,258,000Y018M000D - 005Y000M STATE PRISON F/C/R 000000,MI,"[{'start': 0, 'end': 23, 'text': '000Y018M000D - 005Y000M STATE PRISON F/C/R 000000', 'labels': ['INCARCERATION']}]"
52,199,CONF-1Y4M TO 2Y VACATED,MI,"[{'start': 5, 'end': 15, 'text': 'CONF-1Y4M TO 2Y VACATED', 'labels': ['INCARCERATION']}]"
53,208,JAIL- MN 000-000-090,MI,"[{'start': 6, 'end': 20, 'text': 'JAIL- MN 000-000-090', 'labels': ['INCARCERATION']}]"
54,220,CONF-90D  - TO COOPERATE WITH DRUG PROGRAM,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-90D  - TO COOPERATE WITH DRUG PROGRAM', 'labels': ['INCARCERATION']}]"
55,228,CONF 90 DAYS FCR $775 PROB 12/24 MNTHS,MI,"[{'start': 5, 'end': 12, 'text': 'CONF 90 DAYS FCR $775 PROB 12/24 MNTHS', 'labels': ['INCARCERATION']}]"
56,262,F/C/R-$50  - $1 PER WK MAKE RESTITUTION,MI,[]
57,194,PROB 12M F/C/R/$490 02/22/01 PV F/C/R/$752 PROB 12M,MI,[]
58,250,CONF-164,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-164', 'labels': ['INCARCERATION']}]"
59,198,POSS OF PARAPH POSS OF CS CONF-90D,MI,"[{'start': 31, 'end': 34, 'text': 'POSS OF PARAPH POSS OF CS CONF-90D', 'labels': ['INCARCERATION']}]"
60,169,CONF-6M F/C/R-$500 PROB-4Y,MI,"[{'start': 5, 'end': 7, 'text': 'CONF-6M F/C/R-$500 PROB-4Y', 'labels': ['INCARCERATION']}]"
61,193,F/C/R-$250  - ATT HWY SAFETY ALCOHOL PROGRAM,MI,[]
62,141,CONF-3Y-5Y VACATED,MI,"[{'start': 5, 'end': 10, 'text': 'CONF-3Y-5Y VACATED', 'labels': ['INCARCERATION']}]"
63,252,CONF-45D F/C/R $1170 PROB-24M,MI,"[{'start': 5, 'end': 8, 'text': 'CONF-45D F/C/R $1170 PROB-24M', 'labels': ['INCARCERATION']}]"
64,229,F/C/R-$305 CONF-7D,MI,"[{'start': 16, 'end': 18, 'text': 'F/C/R-$305 CONF-7D', 'labels': ['INCARCERATION']}]"
