,Text,Source,label
226,CONF-1D F/C/R-$585,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-1D F/C/R-$585', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 7, 'text': 'CONF-1D F/C/R-$585', 'labels': ['CONFINEMENT_DURATION']}]"
149,CONF-1D PROB-12M RETAIL FRAUD II,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-1D PROB-12M RETAIL FRAUD II', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 7, 'text': 'CONF-1D PROB-12M RETAIL FRAUD II', 'labels': ['CONFINEMENT_DURATION']}, {'start': 8, 'end': 12, 'text': 'CONF-1D PROB-12M RETAIL FRAUD II', 'labels': ['PROBATION']}, {'start': 13, 'end': 16, 'text': 'CONF-1D PROB-12M RETAIL FRAUD II', 'labels': ['PROBATION_DURATION']}]"
165,F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV,MI,"[{'start': 11, 'end': 15, 'text': 'F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV', 'labels': ['PROBATION']}, {'start': 16, 'end': 18, 'text': 'F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV', 'labels': ['PROBATION_DURATION']}, {'start': 19, 'end': 23, 'text': 'F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV', 'labels': ['CONFINEMENT']}, {'start': 24, 'end': 27, 'text': 'F/C/R-$860 PROB-6M CONF-45D PV-PROB-REV', 'labels': ['CONFINEMENT_DURATION']}]"
135,F/C/R/ $500,MI,[]
234,PROSTITUTION F/C/R-$400,MI,[]
266,"CONF-90D, F/C/R-$1117, PROB-12M",MI,"[{'start': 0, 'end': 4, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 8, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['CONFINEMENT_DURATION']}, {'start': 23, 'end': 27, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['PROBATION']}, {'start': 28, 'end': 31, 'text': 'CONF-90D, F/C/R-$1117, PROB-12M', 'labels': ['PROBATION_DURATION']}]"
253,F/C/R-$71 CONF-3D,MI,"[{'start': 10, 'end': 14, 'text': 'F/C/R-$71 CONF-3D', 'labels': ['CONFINEMENT']}, {'start': 15, 'end': 17, 'text': 'F/C/R-$71 CONF-3D', 'labels': ['CONFINEMENT_DURATION']}]"
207,CONF-23D F/C/R-$12M PROB-12M,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-23D F/C/R-$12M PROB-12M', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 8, 'text': 'CONF-23D F/C/R-$12M PROB-12M', 'labels': ['CONFINEMENT_DURATION']}, {'start': 20, 'end': 24, 'text': 'CONF-23D F/C/R-$12M PROB-12M', 'labels': ['PROBATION']}, {'start': 25, 'end': 28, 'text': 'CONF-23D F/C/R-$12M PROB-12M', 'labels': ['PROBATION_DURATION']}]"
153,CONF-4D F/C/R-$323 PROB-730D,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-4D F/C/R-$323 PROB-730D', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 7, 'text': 'CONF-4D F/C/R-$323 PROB-730D', 'labels': ['CONFINEMENT_DURATION']}, {'start': 24, 'end': 28, 'text': 'CONF-4D F/C/R-$323 PROB-730D', 'labels': ['PROBATION_DURATION']}, {'start': 19, 'end': 23, 'text': 'CONF-4D F/C/R-$323 PROB-730D', 'labels': ['PROBATION']}]"
138,CONF-30D F/C/R-$405 OR CONF-40D PROB-24M,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['CONFINEMENT']}, {'start': 23, 'end': 27, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 8, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['CONFINEMENT_DURATION']}, {'start': 28, 'end': 31, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['CONFINEMENT_DURATION']}, {'start': 32, 'end': 36, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['PROBATION']}, {'start': 37, 'end': 40, 'text': 'CONF-30D F/C/R-$405 OR CONF-40D PROB-24M', 'labels': ['PROBATION_DURATION']}]"
167,F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED,MI,"[{'start': 13, 'end': 20, 'text': 'F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED', 'labels': ['CONFINEMENT']}, {'start': 21, 'end': 25, 'text': 'F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED', 'labels': ['CONFINEMENT_DURATION']}, {'start': 26, 'end': 30, 'text': 'F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED', 'labels': ['PROBATION']}, {'start': 31, 'end': 39, 'text': 'F/C/R 001100 CTYJAIL 0060 PROB 0024 MOS LICENSE-REVOKED', 'labels': ['PROBATION_DURATION']}]"
187,F/C/R-$150  - 30 DAYS REST LIC,MI,[]
267,F/C/R-$1400 PROB-12M CONF-180D,MI,"[{'start': 12, 'end': 16, 'text': 'F/C/R-$1400 PROB-12M CONF-180D', 'labels': ['PROBATION']}, {'start': 17, 'end': 20, 'text': 'F/C/R-$1400 PROB-12M CONF-180D', 'labels': ['PROBATION_DURATION']}, {'start': 21, 'end': 25, 'text': 'F/C/R-$1400 PROB-12M CONF-180D', 'labels': ['CONFINEMENT']}, {'start': 26, 'end': 30, 'text': 'F/C/R-$1400 PROB-12M CONF-180D', 'labels': ['CONFINEMENT_DURATION']}]"
208,JAIL- MN 000-000-090,MI,"[{'start': 0, 'end': 4, 'text': 'JAIL- MN 000-000-090', 'labels': ['CONFINEMENT']}, {'start': 6, 'end': 20, 'text': 'JAIL- MN 000-000-090', 'labels': ['CONFINEMENT_DURATION']}]"
245,F/C/R-$29 PROB-6M,MI,"[{'start': 10, 'end': 14, 'text': 'F/C/R-$29 PROB-6M', 'labels': ['PROBATION']}, {'start': 15, 'end': 17, 'text': 'F/C/R-$29 PROB-6M', 'labels': ['PROBATION_DURATION']}]"
144,F/C/R-$176 PROB-6M,MI,"[{'start': 11, 'end': 15, 'text': 'F/C/R-$176 PROB-6M', 'labels': ['PROBATION']}, {'start': 16, 'end': 18, 'text': 'F/C/R-$176 PROB-6M', 'labels': ['PROBATION_DURATION']}]"
147,CONF-1D F/C/R-$995 PROB-1Y,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-1D F/C/R-$995 PROB-1Y', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 7, 'text': 'CONF-1D F/C/R-$995 PROB-1Y', 'labels': ['CONFINEMENT_DURATION']}, {'start': 19, 'end': 23, 'text': 'CONF-1D F/C/R-$995 PROB-1Y', 'labels': ['PROBATION']}, {'start': 24, 'end': 26, 'text': 'CONF-1D F/C/R-$995 PROB-1Y', 'labels': ['PROBATION_DURATION']}]"
159,F/C/R-$165 PROB-1Y  - HYTA,MI,"[{'start': 11, 'end': 15, 'text': 'F/C/R-$165 PROB-1Y  - HYTA', 'labels': ['PROBATION']}, {'start': 16, 'end': 18, 'text': 'F/C/R-$165 PROB-1Y  - HYTA', 'labels': ['PROBATION_DURATION']}]"
186,F/C/R-$500 CONF-24D PROB-1Y,MI,"[{'start': 11, 'end': 15, 'text': 'F/C/R-$500 CONF-24D PROB-1Y', 'labels': ['CONFINEMENT']}, {'start': 16, 'end': 19, 'text': 'F/C/R-$500 CONF-24D PROB-1Y', 'labels': ['CONFINEMENT_DURATION']}, {'start': 20, 'end': 24, 'text': 'F/C/R-$500 CONF-24D PROB-1Y', 'labels': ['PROBATION']}, {'start': 25, 'end': 27, 'text': 'F/C/R-$500 CONF-24D PROB-1Y', 'labels': ['PROBATION_DURATION']}]"
154,F/C/R-$505 CONF-75D,MI,"[{'start': 11, 'end': 15, 'text': 'F/C/R-$505 CONF-75D', 'labels': ['CONFINEMENT']}, {'start': 16, 'end': 19, 'text': 'F/C/R-$505 CONF-75D', 'labels': ['CONFINEMENT_DURATION']}]"
251,6 YEARS MDOC CONSECUTIVE W/ CASE #51793,MI,"[{'start': 8, 'end': 12, 'text': '6 YEARS MDOC CONSECUTIVE W/ CASE #51793', 'labels': ['CONFINEMENT']}, {'start': 0, 'end': 7, 'text': '6 YEARS MDOC CONSECUTIVE W/ CASE #51793', 'labels': ['CONFINEMENT_DURATION']}]"
200,F/C 120 SPSM 12 MONTHS MIN 24 MONTHS MAX,MI,"[{'start': 8, 'end': 12, 'text': 'F/C 120 SPSM 12 MONTHS MIN 24 MONTHS MAX', 'labels': ['CONFINEMENT']}, {'start': 13, 'end': 40, 'text': 'F/C 120 SPSM 12 MONTHS MIN 24 MONTHS MAX', 'labels': ['CONFINEMENT_DURATION']}]"
125,F/C/R-$339 OR 30D CONF-30D,MI,"[{'start': 18, 'end': 22, 'text': 'F/C/R-$339 OR 30D CONF-30D', 'labels': ['CONFINEMENT']}, {'start': 23, 'end': 26, 'text': 'F/C/R-$339 OR 30D CONF-30D', 'labels': ['CONFINEMENT_DURATION']}, {'start': 14, 'end': 17, 'text': 'F/C/R-$339 OR 30D CONF-30D', 'labels': ['CONFINEMENT_DURATION']}]"
250,CONF-164,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-164', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 8, 'text': 'CONF-164', 'labels': ['CONFINEMENT_DURATION']}]"
199,CONF-1Y4M TO 2Y VACATED,MI,"[{'start': 0, 'end': 4, 'text': 'CONF-1Y4M TO 2Y VACATED', 'labels': ['CONFINEMENT']}, {'start': 5, 'end': 15, 'text': 'CONF-1Y4M TO 2Y VACATED', 'labels': ['CONFINEMENT_DURATION']}]"
264,F/C/R-$54  - PAID,MI,[]
120,F/C/R-$500 CONF-1D PROB-1Y  - 1DAY CREDIT,MI,"[{'start': 11, 'end': 15, 'text': 'F/C/R-$500 CONF-1D PROB-1Y  - 1DAY CREDIT', 'labels': ['CONFINEMENT']}, {'start': 16, 'end': 18, 'text': 'F/C/R-$500 CONF-1D PROB-1Y  - 1DAY CREDIT', 'labels': ['CONFINEMENT_DURATION']}, {'start': 19, 'end': 23, 'text': 'F/C/R-$500 CONF-1D PROB-1Y  - 1DAY CREDIT', 'labels': ['PROBATION']}, {'start': 24, 'end': 26, 'text': 'F/C/R-$500 CONF-1D PROB-1Y  - 1DAY CREDIT', 'labels': ['PROBATION_DURATION']}]"
236,RETAIL FRAUD 2ND F/C/R-$50 PROB-12M,MI,"[{'start': 27, 'end': 31, 'text': 'RETAIL FRAUD 2ND F/C/R-$50 PROB-12M', 'labels': ['PROBATION']}, {'start': 32, 'end': 35, 'text': 'RETAIL FRAUD 2ND F/C/R-$50 PROB-12M', 'labels': ['PROBATION_DURATION']}]"
163,CCW F/C/R-$250,MI,[]
